 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
 freq       soil_lyr  soil_depth        jday         mon         day          yr        unit                gis_id name                   cfmets1        cfstrs1        cfstrs2        efmets1        efstrs1        efstrs2       immmets1       immstrs1       immstrs2       mnrmets1       mnrstrs1       mnrstrs2        co2fmet        co2fstr         cfs1s2         cfs1s3         cfs2s1         cfs2s3         cfs3s1         efs1s2         efs1s3         efs2s1         efs2s3         efs3s1        imms1s2        imms1s3        imms2s1        imms2s3        imms3s1        mnrs1s2        mnrs1s3        mnrs2s1        mnrs2s3        mnrs3s1         co2fs1         co2fs2         co2fs3
                              mm                                                                                                          kg_C/ha        kg_C/ha        kg_C/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_C/ha        kg_C/ha
 day              10         750           1           1           1        1975           1                     1 hru0001            1.585915      1.3420621E-03  8.3506061E-03  0.1585915      8.9470805E-06  5.5670709E-05  1.8228129E-02  1.4068445E-04  4.6695393E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.938341      5.2191298E-03  0.1877853      3.5491816E-03  3.3410601E-02  3.9995625E-03  4.5308708E-03  1.1752587E-02  2.2212637E-04  3.3410601E-03  3.9995625E-04  4.5308709E-04  0.0000000E+00  0.0000000E+00  3.8401317E-04  7.1108079E-05  5.2076706E-05  1.1720575E-02  2.2152130E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1738077      4.5723535E-02  5.5377311E-03
 day              11         900           1           1           1        1975           1                     1 hru0001            1.132004      9.5794519E-04  5.9605460E-03  0.1132004      6.3863017E-06  3.9736973E-05  2.2022724E-03  9.1271868E-05  3.2066918E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.383561      3.7253418E-03  0.1340870      2.3808463E-03  2.3151428E-02  2.7853830E-03  3.2340721E-03  8.1076063E-03  1.4395856E-04  2.3151429E-03  2.7853830E-04  3.2340721E-04  0.0000000E+00  0.0000000E+00  4.5040157E-05  4.1593274E-05  6.2917825E-06  8.6532626E-03  1.5364723E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1294891      3.1700548E-02  3.9527551E-03
 day              12        1050           1           1           1        1975           1                     1 hru0001           0.5378469      4.5514677E-04  2.8320223E-03  5.1066868E-02  3.0343122E-06  1.8880150E-05  0.0000000E+00  4.0180446E-05  1.4750793E-04  2.7178191E-03  0.0000000E+00  0.0000000E+00  0.6573684      1.7700144E-03  6.3647076E-02  1.0152294E-03  1.0504095E-02  1.2732634E-03  1.5365978E-03  3.7394175E-03  5.9647151E-05  9.9733076E-04  1.2732635E-04  1.4589513E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6031394E-05  0.0000000E+00  4.2164670E-03  6.7256522E-05  5.3078751E-05  0.0000000E+00  7.7646546E-06  6.5495312E-02  1.4394550E-02  1.8780642E-03
 day              13        1200           1           1           1        1975           1                     1 hru0001           0.5413473      4.5810893E-04  2.8504536E-03  4.8531581E-02  3.0540598E-06  1.9003024E-05  0.0000000E+00  3.8015234E-05  1.4448173E-04  5.6031458E-03  0.0000000E+00  0.0000000E+00  0.6616467      1.7815339E-03  6.4061306E-02  1.0218367E-03  1.0572459E-02  1.2815500E-03  1.5465985E-03  3.6741686E-03  5.8606362E-05  9.4781694E-04  1.2815501E-04  1.3865197E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3648780E-05  0.0000000E+00  4.3334947E-03  6.9123220E-05  1.0942895E-04  0.0000000E+00  1.6007893E-05  6.5921567E-02  1.4488233E-02  1.8902870E-03
 day              14        1500           1           1           1        1975           1                     1 hru0001            1.091455      9.2363113E-04  5.7470361E-03  8.9822777E-02  6.1575411E-06  3.8313578E-05  0.0000000E+00  6.9853908E-05  2.7919799E-04  1.9322768E-02  0.0000000E+00  0.0000000E+00   1.334001      3.5918984E-03  0.1291594      2.0602103E-03  2.1316016E-02  2.5838402E-03  3.1182263E-03  7.1357815E-03  1.1382226E-04  1.7542298E-03  2.5838401E-04  2.5661857E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9838568E-05  0.0000000E+00  9.0091387E-03  1.4370403E-04  3.7737179E-04  0.0000000E+00  5.5204087E-05  0.1329100      2.9210936E-02  3.8111657E-03
 day              15        1800           1           1           1        1975           1                     1 hru0001            1.100374      9.3117880E-04  5.7940003E-03  8.5369408E-02  6.2078593E-06  3.8626669E-05  0.0000000E+00  6.6034991E-05  2.7300231E-04  2.4668038E-02  0.0000000E+00  0.0000000E+00   1.344902      3.6212504E-03  0.1302148      2.0770459E-03  2.1490203E-02  2.6049542E-03  3.1437075E-03  7.0035718E-03  1.1171342E-04  1.6672561E-03  2.6049541E-04  2.4389557E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4527759E-05  0.0000000E+00  9.2732776E-03  1.4791731E-04  4.8176420E-04  0.0000000E+00  7.0475187E-05  0.1339961      2.9449636E-02  3.8423094E-03
 day              16        2000           1           1           1        1975           1                     1 hru0001           0.7372878      6.2392105E-04  3.8821744E-03  5.5551618E-02  4.1594740E-06  2.5881161E-05  0.0000000E+00  4.2850421E-05  1.8009444E-04  1.8177159E-02  0.0000000E+00  0.0000000E+00  0.9011297      2.4263593E-03  8.7248296E-02  1.3916906E-03  1.4399156E-02  1.7454067E-03  2.1063895E-03  4.6291123E-03  7.3838601E-05  1.0849175E-03  1.7454066E-04  1.5870783E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8898447E-06  0.0000000E+00  6.2769256E-03  1.0012272E-04  3.5499816E-04  0.0000000E+00  5.1931129E-05  8.9781880E-02  1.9732244E-02  2.5744764E-03
 day              -1          -1           1           1           1        1975           1                     1 hru0001            38.70234      3.2800976E-02  0.2049812       3.727234      2.9186689E-04  1.7857886E-03   3.450751      5.8233337E-03  1.2629260E-02  0.1429988      0.0000000E+00  0.0000000E+00   47.70569      0.1282557       4.538877      8.4696844E-02  0.8098255      9.7075589E-02  0.1089452      0.3197415      5.9752241E-03  7.7853568E-02  9.7075598E-03  1.0545837E-02  0.0000000E+00  0.0000000E+00  7.1969837E-02  2.6822847E-03  9.7601414E-03  0.2476181      4.6118796E-03  3.1289775E-03  0.0000000E+00  3.4868560E-04   4.302711       1.108435      0.1331553    
 day               1          10           1           1           1        1975           2                     1 hru0002           0.7122937      5.6186866E-04  3.9330781E-03  3.5614688E-02  2.7611522E-05  1.5732313E-04  0.0000000E+00  4.8191032E-07  0.0000000E+00  3.5614680E-02  0.0000000E+00  3.5957404E-05   1.068441      2.5284081E-03  7.2119415E-02  1.5921702E-03  1.7323826E-02  2.0738246E-03  1.4562532E-03  2.8847763E-03  6.3686806E-05  8.6619129E-04  2.0738244E-04  7.2812662E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4551915E-11  0.0000000E+00  6.1301505E-03  1.3533447E-04  8.6619105E-04  0.0000000E+00  7.2812676E-05  9.0091944E-02  2.3708241E-02  1.7798652E-03
 day               2          25           1           1           1        1975           2                     1 hru0002           0.7932618      7.0041622E-04  4.3581394E-03  7.9326175E-02  9.5009773E-06  5.9117105E-05  0.1824502      2.2163638E-04  3.0260847E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9695423      2.7238384E-03  9.0760857E-02  1.7153991E-03  1.6148096E-02  1.9330785E-03  2.1898721E-03  7.5331512E-03  1.4237812E-04  1.6148095E-03  1.9330785E-04  2.1898720E-04  0.0000000E+00  0.0000000E+00  3.7140623E-03  8.3122402E-05  5.0367054E-04  3.8119559E-03  7.2046751E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4005132E-02  2.2099214E-02  2.6765105E-03
