 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
        jday         mon         day          yr        unit                gis_id    name         depth_lyr1             depth_lyr2             depth_lyr3             depth_lyr4             depth_lyr5             depth_lyr6             depth_lyr7             depth_lyr8             depth_lyr9             depth_lyr10            depth_lyr11            depth_lyr12            depth_lyr13            depth_lyr14            depth_lyr15            depth_lyr16            bd_lyr1                bd_lyr2                bd_lyr3                bd_lyr4                bd_lyr5                bd_lyr6                bd_lyr7                bd_lyr8                bd_lyr9                bd_lyr10               bd_lyr11               bd_lyr12               bd_lyr13               bd_lyr14               bd_lyr15               bd_lyr16               awc_lyr1               awc_lyr2               awc_lyr3               awc_lyr4               awc_lyr5               awc_lyr6               awc_lyr7               awc_lyr8               awc_lyr9               awc_lyr10              awc_lyr11              awc_lyr12              awc_lyr13              awc_lyr14              awc_lyr15              awc_lyr16              soil_k_lyr1            soil_k_lyr2            soil_k_lyr3            soil_k_lyr4            soil_k_lyr5            soil_k_lyr6            soil_k_lyr7            soil_k_lyr8            soil_k_lyr9            soil_k_lyr10           soil_k_lyr11           soil_k_lyr12           soil_k_lyr13           soil_k_lyr14           soil_k_lyr15           soil_k_lyr16           tot_c_lyr1             tot_c_lyr2             tot_c_lyr3             tot_c_lyr4             tot_c_lyr5             tot_c_lyr6             tot_c_lyr7             tot_c_lyr8             tot_c_lyr9             tot_c_lyr10            tot_c_lyr11            tot_c_lyr12            tot_c_lyr13            tot_c_lyr14            tot_c_lyr15            tot_c_lyr16            clay_lyr1              clay_lyr2              clay_lyr3              clay_lyr4              clay_lyr5              clay_lyr6              clay_lyr7              clay_lyr8              clay_lyr9              clay_lyr10             clay_lyr11             clay_lyr12             clay_lyr13             clay_lyr14             clay_lyr15             clay_lyr16             silt_lyr1              silt_lyr2              silt_lyr3              silt_lyr4              silt_lyr5              silt_lyr6              silt_lyr7              silt_lyr8              silt_lyr9              silt_lyr10             silt_lyr11             silt_lyr12             silt_lyr13             silt_lyr14             silt_lyr15             silt_lyr16             sand_lyr1              sand_lyr2              sand_lyr3              sand_lyr4              sand_lyr5              sand_lyr6              sand_lyr7              sand_lyr8              sand_lyr9              sand_lyr10             sand_lyr11             sand_lyr12             sand_lyr13             sand_lyr14             sand_lyr15             sand_lyr16             rock_lyr1              rock_lyr2              rock_lyr3              rock_lyr4              rock_lyr5              rock_lyr6              rock_lyr7              rock_lyr8              rock_lyr9              rock_lyr10             rock_lyr11             rock_lyr12             rock_lyr13             rock_lyr14             rock_lyr15             rock_lyr16             alb_lyr1               alb_lyr2               alb_lyr3               alb_lyr4               alb_lyr5               alb_lyr6               alb_lyr7               alb_lyr8               alb_lyr9               alb_lyr10              alb_lyr11              alb_lyr12              alb_lyr13              alb_lyr14              alb_lyr15              alb_lyr16              usle_k_lyr1            usle_k_lyr2            usle_k_lyr3            usle_k_lyr4            usle_k_lyr5            usle_k_lyr6            usle_k_lyr7            usle_k_lyr8            usle_k_lyr9            usle_k_lyr10           usle_k_lyr11           usle_k_lyr12           usle_k_lyr13           usle_k_lyr14           usle_k_lyr15           usle_k_lyr16           ec_lyr1                ec_lyr2                ec_lyr3                ec_lyr4                ec_lyr5                ec_lyr6                ec_lyr7                ec_lyr8                ec_lyr9                ec_lyr10               ec_lyr11               ec_lyr12               ec_lyr13               ec_lyr14               ec_lyr15               ec_lyr16               caco3_lyr1             caco3_lyr2             caco3_lyr3             caco3_lyr4             caco3_lyr5             caco3_lyr6             caco3_lyr7             caco3_lyr8             caco3_lyr9             caco3_lyr10            caco3_lyr11            caco3_lyr12            caco3_lyr13            caco3_lyr14            caco3_lyr15            caco3_lyr16            ph_lyr1                ph_lyr2                ph_lyr3                ph_lyr4                ph_lyr5                ph_lyr6                ph_lyr7                ph_lyr8                ph_lyr9                ph_lyr10               ph_lyr11               ph_lyr12               ph_lyr13               ph_lyr14               ph_lyr15               ph_lyr16              
           0           1           1        1975           1             1  hru0001                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.260000               1.260000               1.260000               1.419999               1.419999               1.500000               1.500000               1.500000               1.500000               1.500000               1.540002               1.600002               1.600002               1.600004               1.600004               1.600003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               2152.563               3228.845               5381.408               8147.610               8147.610               4853.362               9706.725               14560.09               14560.09               14560.09               10859.79               5056.087               5056.087               10112.19               10112.19               6741.454               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.2799999              0.2799999              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               5.670000               5.669999               5.669999               5.660002               5.660002               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           2             1  hru0002                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.050000               1.050000               1.050000               1.730001               1.730001               1.750000               1.750000               1.750000               1.750000               1.750000               1.830000               1.950000               1.950000               1.950006               1.950006               1.950003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               1078.094               1617.141               2695.234               12911.68               12911.68               5662.256               11324.51               16986.77               16986.77               16986.77               12904.80               6162.096               6162.096               12324.23               12324.23               8216.142               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.2799999              0.2799999              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.670000               5.669999               5.669999               5.660002               5.660002               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           3             1  hru0003                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.410000               1.410000               1.410000               1.470001               1.470001               1.500000               1.500000               1.500000               1.500000               1.500000               1.540002               1.600002               1.600002               1.600004               1.600004               1.600003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               5109.621               7664.430               12774.05               18073.93               18073.93               4853.362               9706.725               14560.09               14560.09               14560.09               10859.79               5056.087               5056.087               10112.19               10112.19               6741.454               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.2799999              0.2799999              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.730000               5.730001               5.730001               5.880002               5.880002               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           4             1  hru0004                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.290000               1.290000               1.290000               1.330001               1.330001               1.550000               1.550002               1.550002               1.550002               1.550002               1.570003               1.600002               1.600002               1.600004               1.600004               1.600003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               4730.411               7095.617               11826.03               18246.06               18246.06               5015.142               10030.29               15045.44               15045.44               15045.44               11071.35               5056.087               5056.087               10112.19               10112.19               6741.454               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.2799999              0.2799999              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.690000               5.690000               5.690001               5.859998               5.859998               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           5             1  hru0005                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.440000               1.440000               1.440000               1.419999               1.419999               1.520000               1.519999               1.520001               1.520001               1.520001               1.552002               1.600002               1.600002               1.600004               1.600004               1.600003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               6063.210               9094.815               15158.02               17765.46               17765.46               4918.073               9836.144               14754.23               14754.23               14754.23               10970.20               5086.297               5086.297               10172.61               10172.61               6781.734               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               35.20000               37.00000               37.00000               37.00000               37.00000               37.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000               8.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.2799999              0.2799999              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.540000               5.540000               5.540000               5.539998               5.539998               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           6             1  hru0006                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.390000               1.390000               1.390000               1.410000               1.410000               1.550000               1.550002               1.550002               1.550002               1.550002               1.570003               1.600002               1.600002               1.600004               1.600004               1.600003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               5852.682               8779.021               14631.70               20438.49               20438.49               5015.142               10030.29               15045.44               15045.44               15045.44               11071.35               5056.087               5056.087               10112.19               10112.19               6741.454               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.3800000              0.3800000              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.710000               5.710000               5.710000               5.829999               5.829999               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           7             1  hru0007                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.160000               1.160000               1.160000               1.390000               1.390000               1.500000               1.500000               1.500000               1.500000               1.500000               1.540002               1.600002               1.600002               1.600004               1.600004               1.600003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               1991.734               2987.600               4979.335               7255.880               7255.880               4853.362               9706.725               14560.09               14560.09               14560.09               10859.79               5056.087               5056.087               10112.19               10112.19               6741.454               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.2799999              0.2799999              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.750000               5.750000               5.750000               5.809999               5.809999               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           8             1  hru0008                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000              0.8000001              0.8000001              0.8000000               1.630000               1.630000               1.550000               1.550002               1.550002               1.550002               1.550002               1.689998               1.899997               1.899997               1.899999               1.899999               1.899996              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               628.1329               942.1995               1570.332               12305.97               12305.97               5015.142               10030.29               15045.44               15045.44               15045.44               11917.54               6004.086               6004.086               12008.18               12008.18               8005.445               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.3800000              0.3800000              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.710000               5.710000               5.710000               5.820004               5.820004               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975           9             1  hru0009                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.480000               1.480000               1.480000               1.500000               1.500000               1.550000               1.550002               1.550002               1.550002               1.550002               1.570003               1.600002               1.600002               1.600004               1.600004               1.600003              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               6346.558               9519.838               15866.39               15077.79               15077.79               5015.142               10030.29               15045.44               15045.44               15045.44               11071.35               5056.087               5056.087               10112.19               10112.19               6741.454               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.2799999              0.2799999              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.660000               5.660001               5.660002               5.789998               5.789998               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
           0           1           1        1975          10             1  hru0010                    10.00000               25.00000               50.00000               100.0000               150.0000               200.0000               300.0000               450.0000               600.0000               750.0000               900.0000               1050.000               1200.000               1500.000               1800.000               2000.000               1.350000               1.350000               1.350000               1.440000               1.440000               1.550000               1.550002               1.550002               1.550002               1.550002               1.601998               1.679996               1.679996               1.679995               1.679995               1.679996              0.2100000              0.2100000              0.2100000              0.1800000              0.1800000              0.1800000              0.1800001              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002              0.1800002               33.01000               33.01000               33.01001               33.01001               33.01001               33.01001               33.01001               33.00997               33.00997               33.00997               33.00997               33.00997               33.00997               33.00986               33.00986               33.00992               5229.983               7844.975               13074.95               14847.40               14847.40               5015.142               10030.29               15045.44               15045.44               15045.44               11296.97               5308.873               5308.873               10617.73               10617.73               7078.493               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               21.00000               18.60000               15.00000               15.00000               15.00000               15.00000               15.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.00000               34.80000               36.00000               36.00000               36.00000               36.00000               36.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               45.00000               46.60000               49.00000               49.00000               49.00000               49.00000               49.00000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000              0.1600000              0.1600000              0.1600000              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.1599999              0.2400000              0.2400000              0.2399999              0.3800000              0.3800000              0.3199999              0.3199998              0.3199998              0.3199998              0.3199998              0.3399996              0.3699998              0.3699998              0.3700010              0.3700010              0.3700001               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               0.000000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               2.800000               6.000000               15.00000               15.00000               15.00000               15.00000               15.00000               5.710000               5.710000               5.710000               5.829999               5.829999               6.600003               6.599998               6.599990               6.599990               6.599990               7.160000               8.000000               8.000000               8.000000               8.000000               8.000000    
