unit_name,unit_kind,source_file,start_line,parent_unit,reachable_from_main,depth_from_main,first_path_from_main,called_by_known,called_by_reachable_from_main,calls_known_local,calls_known_local_count,calls_unresolved_or_external,calls_ambiguous_local_names,raw_call_sites
basin_recall_output,subroutine,SWATPLUS/swatplus/src/basin_recall_output.f90,1,,yes,2,main > command > basin_recall_output,command,command,,0,,,
basin_res_pest_output,subroutine,SWATPLUS/swatplus/src/basin_res_pest_output.f90,1,,yes,2,main > command > basin_res_pest_output,command,command,,0,,,
basin_reservoir_output,subroutine,SWATPLUS/swatplus/src/basin_reservoir_output.f90,1,,yes,2,main > command > basin_reservoir_output,command,command,,0,,,
basin_sdchannel_output,subroutine,SWATPLUS/swatplus/src/basin_sdchannel_output.f90,1,,yes,2,main > command > basin_sdchannel_output,command,command,,0,,,
ch_cs_output,subroutine,SWATPLUS/swatplus/src/ch_cs_output.f90,1,,yes,2,main > command > ch_cs_output,command,command,,0,,,
ch_salt_output,subroutine,SWATPLUS/swatplus/src/ch_salt_output.f90,1,,yes,2,main > command > ch_salt_output,command,command,,0,,,
cha_pesticide_output,subroutine,SWATPLUS/swatplus/src/cha_pesticide_output.f90,1,,yes,2,main > command > cha_pesticide_output,command,command,,0,,,
channel_output,subroutine,SWATPLUS/swatplus/src/channel_output.f90,1,,yes,2,main > command > channel_output,command,command,,0,,,
constit_hyd_mult,subroutine,SWATPLUS/swatplus/src/constit_hyd_mult.f90,1,,yes,2,main > command > constit_hyd_mult,command,command,,0,,,
cs_balance,subroutine,SWATPLUS/swatplus/src/cs_balance.f90,1,,yes,2,main > command > cs_balance,command,command,,0,,,
cs_str_output,subroutine,SWATPLUS/swatplus/src/cs_str_output.f90,1,,yes,2,main > command > cs_str_output,command,command,,0,,,
flow_dur_curve,subroutine,SWATPLUS/swatplus/src/flow_dur_curve.f90,1,,yes,2,main > command > flow_dur_curve,command,command,,0,,,
gwflow_simulate,subroutine,SWATPLUS/swatplus/src/gwflow_simulate.f90,1,,yes,2,main > command > gwflow_simulate,command,command,gwflow_canal_div;gwflow_canal_ext;gwflow_gwet;gwflow_lateral;gwflow_output_aa;gwflow_output_day;gwflow_output_mon;gwflow_output_yr;gwflow_phreatophyte;gwflow_pond;gwflow_pump_ext;gwflow_rech,12,,,gwflow_rech:91;gwflow_gwet:94;gwflow_phreatophyte:97;gwflow_pump_ext:125;gwflow_canal_ext:188;gwflow_pond:206;gwflow_canal_div:210;gwflow_lateral:361;gwflow_output_day:460;gwflow_output_mon:464;gwflow_output_yr:468;gwflow_output_aa:474
hru_carbon_output,subroutine,SWATPLUS/swatplus/src/hru_carbon_output.f90,1,,yes,2,main > command > hru_carbon_output,command,command,,0,,,
hru_control,subroutine,SWATPLUS/swatplus/src/hru_control.f90,1,,yes,2,main > command > hru_control,command,command,actions;albedo;cbn_rsd_transfer;cbn_surfrsd_decomp;cbn_zhang2;conditions;cs_lch;cs_rain;cs_rctn_hru;cs_sorb_hru;et_act;et_pot;hru_hyds;hru_urb_bmp;hru_urban;hru_urbanhr;mgt_biomix;mgt_operatn;nut_nitvol;nut_nlch;nut_nminrl;nut_nrain;nut_orgn;nut_orgnc2;nut_pminrl;nut_pminrl2;nut_psed;nut_solp;path_ls_process;path_ls_runoff;path_ls_swrouting;pest_decay;pest_enrsb;pest_lch;pest_pesty;pest_pl_up;pest_soil_tot;pest_washp;pl_community;pl_fert;pl_graze;pl_grow;rls_routeaqu;rls_routesoil;rls_routesurf;rls_routetile;rsd_decomp;salt_chem_hru;salt_lch;salt_rain;salt_roadsalt;sep_biozone;smp_bmpfixed;smp_buffer;smp_filter;smp_grass_wway;sq_canopyint;sq_crackvol;sq_snom;sq_surfst;stmp_solt;stor_surfstor;surface;swr_latsed;swr_percmain;swr_substor;swr_subwq;varinit;wet_irrp;wetland_control,70,,,varinit:169;conditions:184;actions:185;pl_fert:191;albedo:240;salt_chem_hru:244;cs_rctn_hru:249;cs_sorb_hru:250;stmp_solt:254;sq_canopyint:257;sq_snom:260;rls_routesurf:272;rls_routesoil:279;rls_routetile:284;rls_routeaqu:290;sq_crackvol:294;et_pot:297;et_act:298;mgt_operatn:301;surface:305;wet_irrp:321;wetland_control:329;swr_percmain:351;pl_graze:369;rsd_decomp:380;nut_nminrl:382;mgt_biomix:387;cbn_surfrsd_decomp:389;cbn_rsd_transfer:391;cbn_zhang2:394;nut_nitvol:397;nut_pminrl2:400;nut_pminrl:402;sep_biozone:409;pl_community:413;pl_grow:443;pest_washp:509;pest_pl_up:512;pest_decay:515;pest_lch:518;pest_soil_tot:521;pest_enrsb:525;pest_pesty:526;nut_orgn:530;nut_orgnc2:535;nut_psed:537;nut_nrain:542;nut_nlch:545;nut_solp:562;salt_rain:567;salt_roadsalt:569;salt_lch:570;cs_rain:576;cs_lch:578;path_ls_swrouting:583;path_ls_runoff:584;path_ls_process:585;hru_urban:591;hru_urbanhr:593;swr_latsed:598;stor_surfstor:601;swr_substor:604;smp_filter:608;smp_buffer:609;smp_grass_wway:614;smp_bmpfixed:619;sq_surfst:631;conditions:638;actions:639;swr_subwq:658;hru_urb_bmp:662;hru_hyds:885
hru_cs_output,subroutine,SWATPLUS/swatplus/src/hru_cs_output.f90,1,,yes,2,main > command > hru_cs_output,command,command,,0,,,
hru_lte_control,subroutine,SWATPLUS/swatplus/src/hru_lte_control.f90,1,,yes,2,main > command > hru_lte_control,command,command,actions;conditions,2,,,conditions:190;actions:191;conditions:202;actions:203
hru_lte_output,subroutine,SWATPLUS/swatplus/src/hru_lte_output.f90,1,,yes,2,main > command > hru_lte_output,command,command,,0,,,
hru_output,subroutine,SWATPLUS/swatplus/src/hru_output.f90,1,,yes,2,main > command > hru_output,command,command,soil_nutcarb_write;soil_nutcarb_write_legacy,2,,,soil_nutcarb_write:310;soil_nutcarb_write_legacy:317
hru_pathogen_output,subroutine,SWATPLUS/swatplus/src/hru_pathogen_output.f90,1,,yes,2,main > command > hru_pathogen_output,command,command,,0,,,
hru_pesticide_output,subroutine,SWATPLUS/swatplus/src/hru_pesticide_output.f90,1,,yes,2,main > command > hru_pesticide_output,command,command,,0,,,
hru_salt_output,subroutine,SWATPLUS/swatplus/src/hru_salt_output.f90,1,,yes,2,main > command > hru_salt_output,command,command,,0,,,
hyddep_output,subroutine,SWATPLUS/swatplus/src/hyddep_output.f90,1,,yes,2,main > command > hyddep_output,command,command,,0,,,
hydin_output,subroutine,SWATPLUS/swatplus/src/hydin_output.f90,1,,yes,2,main > command > hydin_output,command,command,,0,,,
hydout_output,subroutine,SWATPLUS/swatplus/src/hydout_output.f90,1,,yes,2,main > command > hydout_output,command,command,,0,,,
lsu_carbon_output,subroutine,SWATPLUS/swatplus/src/lsu_carbon_output.f90,1,,yes,2,main > command > lsu_carbon_output,command,command,,0,,,
lsu_output,subroutine,SWATPLUS/swatplus/src/lsu_output.f90,1,,yes,2,main > command > lsu_output,command,command,,0,,,
manure_demand_output,subroutine,SWATPLUS/swatplus/src/manure_demand_output.f90,1,,yes,2,main > command > manure_demand_output,command,command,,0,,,
manure_source_output,subroutine,SWATPLUS/swatplus/src/manure_source_output.f90,1,,yes,2,main > command > manure_source_output,command,command,,0,,,
obj_output,subroutine,SWATPLUS/swatplus/src/obj_output.f90,1,,yes,2,main > command > obj_output,command,command,,0,,,
recall_cs,subroutine,SWATPLUS/swatplus/src/recall_cs.f90,3,,yes,2,main > command > recall_cs,command,command,,0,,,
recall_nut,subroutine,SWATPLUS/swatplus/src/recall_nut.f90,2,,yes,2,main > command > recall_nut,command,command,,0,,,
recall_output,subroutine,SWATPLUS/swatplus/src/recall_output.f90,1,,yes,2,main > command > recall_output,command,command,,0,,,
recall_salt,subroutine,SWATPLUS/swatplus/src/recall_salt.f90,3,,yes,2,main > command > recall_salt,command,command,,0,,,
res_control,subroutine,SWATPLUS/swatplus/src/res_control.f90,1,,yes,2,main > command > res_control,command;wallo_control,command;wallo_control,cli_lapse;conditions;gwflow_reservoir;res_cs;res_hydro;res_nutrient;res_pest;res_rel_conds;res_salt;res_sediment,10,move_alloc,,cli_lapse:50;move_alloc:99;move_alloc:106;conditions:137;res_hydro:141;res_sediment:154;res_rel_conds:157;gwflow_reservoir:167;res_nutrient:207;res_pest:211;res_salt:217;res_cs:224
res_cs_output,subroutine,SWATPLUS/swatplus/src/res_cs_output.f90,1,,yes,2,main > command > res_cs_output,command,command,,0,,,
res_pesticide_output,subroutine,SWATPLUS/swatplus/src/res_pesticide_output.f90,1,,yes,2,main > command > res_pesticide_output,command,command,,0,,,
res_salt_output,subroutine,SWATPLUS/swatplus/src/res_salt_output.f90,1,,yes,2,main > command > res_salt_output,command,command,,0,,,
reservoir_output,subroutine,SWATPLUS/swatplus/src/reservoir_output.f90,1,,yes,2,main > command > reservoir_output,command,command,,0,,,
ru_control,subroutine,SWATPLUS/swatplus/src/ru_control.f90,1,,yes,2,main > command > ru_control,command,command,flow_hyd_ru_hru,1,,,flow_hyd_ru_hru:282
ru_cs_output,subroutine,SWATPLUS/swatplus/src/ru_cs_output.f90,1,,yes,2,main > command > ru_cs_output,command,command,,0,,,
ru_output,subroutine,SWATPLUS/swatplus/src/ru_output.f90,1,,yes,2,main > command > ru_output,command,command,,0,,,
ru_salt_output,subroutine,SWATPLUS/swatplus/src/ru_salt_output.f90,1,,yes,2,main > command > ru_salt_output,command,command,,0,,,
salt_balance,subroutine,SWATPLUS/swatplus/src/salt_balance.f90,1,,yes,2,main > command > salt_balance,command,command,,0,,,
sd_chanbud_output,subroutine,SWATPLUS/swatplus/src/sd_chanbud_output.f90,1,,yes,2,main > command > sd_chanbud_output,command,command,,0,,,
sd_chanmorph_output,subroutine,SWATPLUS/swatplus/src/sd_chanmorph_output.f90,1,,yes,2,main > command > sd_chanmorph_output,command,command,,0,,,
sd_channel_control3,subroutine,SWATPLUS/swatplus/src/sd_channel_control3.f90,1,,yes,2,main > command > sd_channel_control3,command,command,ch_rtmusk;ch_rtpath;ch_rtpest;ch_temp;ch_watqual4;cli_lapse;gwflow_canal;gwflow_channel_exch;gwflow_satexcess;gwflow_tile;rcurv_interp_flo;sd_channel_sediment3;wallo_control,13,,,cli_lapse:102;gwflow_channel_exch:141;gwflow_canal:142;gwflow_tile:143;gwflow_satexcess:144;sd_channel_sediment3:162;ch_rtmusk:165;ch_rtpest:169;ch_rtpath:176;rcurv_interp_flo:206;ch_watqual4:209;wallo_control:331;ch_temp:362
sd_channel_output,subroutine,SWATPLUS/swatplus/src/sd_channel_output.f90,1,,yes,2,main > command > sd_channel_output,command,command,,0,,,
soil_carbvar_write,subroutine,SWATPLUS/swatplus/src/soil_carbvar_write.f90,1,,yes,2,main > command > soil_carbvar_write,command,command,cb_write_depth_row;cv_drv_blocks;cv_dyn_blocks;cv_emit_row_id_csv;cv_emit_row_id_txt,5,,,cv_emit_row_id_txt:46;cb_write_depth_row:48;cv_drv_blocks:49;cv_emit_row_id_csv:51;cb_write_depth_row:53;cv_drv_blocks:54;cv_emit_row_id_txt:59;cb_write_depth_row:61;cv_dyn_blocks:62;cv_emit_row_id_csv:64;cb_write_depth_row:66;cv_dyn_blocks:67
soil_carbvar_write_legacy,subroutine,SWATPLUS/swatplus/src/soil_carbvar_write_legacy.f90,1,,yes,2,main > command > soil_carbvar_write_legacy,command,command,,0,,,
soil_nutcarb_write,subroutine,SWATPLUS/swatplus/src/soil_nutcarb_write.f90,1,,yes,2,main > command > soil_nutcarb_write,command;hru_output;output_landscape_init,command;hru_output;output_landscape_init,cb_cbn_lyr_emit;cb_cflux_stat_emit;cb_cpool_stat_emit;cb_n_p_pool_emit;cb_plc_stat_emit;cb_soil_snap_emit;cb_soil_snap_period,7,,,cb_soil_snap_emit:86;cb_cbn_lyr_emit:216;cb_n_p_pool_emit:219;cb_plc_stat_emit:222;cb_soil_snap_period:223;cb_cflux_stat_emit:225;cb_cpool_stat_emit:226
soil_nutcarb_write_legacy,subroutine,SWATPLUS/swatplus/src/soil_nutcarb_write_legacy.f90,1,,yes,2,main > command > soil_nutcarb_write_legacy,carbon_legacy_open;command;hru_output,carbon_legacy_open;command;hru_output,,0,,,
wallo_allo_output,subroutine,SWATPLUS/swatplus/src/wallo_allo_output.f90,1,,yes,2,main > command > wallo_allo_output,command,command,,0,,,
wallo_control,subroutine,SWATPLUS/swatplus/src/wallo_control.f90,1,,yes,2,main > command > wallo_control,command;sd_channel_control3,command;sd_channel_control3,cs_irrig;res_control;salt_irrig;wallo_canal;wallo_demand;wallo_transfer;wallo_treatment;wallo_use;wallo_withdraw,9,,,wallo_demand:43;wallo_withdraw:66;wallo_withdraw:75;wallo_transfer:88;salt_irrig:107;cs_irrig:112;res_control:134;wallo_treatment:146;wallo_use:152;wallo_canal:162
wallo_treat_output,subroutine,SWATPLUS/swatplus/src/wallo_treat_output.f90,1,,yes,2,main > command > wallo_treat_output,command,command,,0,,,
wallo_trn_output,subroutine,SWATPLUS/swatplus/src/wallo_trn_output.f90,1,,yes,2,main > command > wallo_trn_output,command,command,,0,,,
wallo_use_output,subroutine,SWATPLUS/swatplus/src/wallo_use_output.f90,1,,yes,2,main > command > wallo_use_output,command,command,,0,,,
wet_cs_output,subroutine,SWATPLUS/swatplus/src/wet_cs_output.f90,1,,yes,2,main > command > wet_cs_output,command,command,,0,,,
wet_salt_output,subroutine,SWATPLUS/swatplus/src/wet_salt_output.f90,1,,yes,2,main > command > wet_salt_output,command,command,,0,,,
wetland_output,subroutine,SWATPLUS/swatplus/src/wetland_output.f90,1,,yes,2,main > command > wetland_output,command,command,,0,,,
dr_path_read,subroutine,SWATPLUS/swatplus/src/dr_path_read.f90,1,,yes,2,main > dr_db_read > dr_path_read,dr_db_read,dr_db_read,,0,,,
dr_read_hmet,subroutine,SWATPLUS/swatplus/src/dr_read_hmet.f90,1,,yes,2,main > dr_db_read > dr_read_hmet,dr_db_read,dr_db_read,,0,,,
dr_read_om,subroutine,SWATPLUS/swatplus/src/dr_read_om.f90,1,,yes,2,main > dr_db_read > dr_read_om,dr_db_read,dr_db_read,,0,,,
dr_read_pest,subroutine,SWATPLUS/swatplus/src/dr_read_pest.f90,1,,yes,2,main > dr_db_read > dr_read_pest,dr_db_read,dr_db_read,,0,,,
dr_read_salt,subroutine,SWATPLUS/swatplus/src/dr_read_salt.f90,1,,yes,2,main > dr_db_read > dr_read_salt,dr_db_read,dr_db_read,,0,,,
exco_read_hmet,subroutine,SWATPLUS/swatplus/src/exco_read_hmet.f90,1,,yes,2,main > exco_db_read > exco_read_hmet,exco_db_read,exco_db_read,,0,,,
exco_read_om,subroutine,SWATPLUS/swatplus/src/exco_read_om.f90,1,,yes,2,main > exco_db_read > exco_read_om,exco_db_read,exco_db_read,,0,,,
exco_read_path,subroutine,SWATPLUS/swatplus/src/exco_read_path.f90,1,,yes,2,main > exco_db_read > exco_read_path,exco_db_read,exco_db_read,,0,,,
exco_read_pest,subroutine,SWATPLUS/swatplus/src/exco_read_pest.f90,1,,yes,2,main > exco_db_read > exco_read_pest,exco_db_read,exco_db_read,,0,,,
exco_read_salt,subroutine,SWATPLUS/swatplus/src/exco_read_salt.f90,1,,yes,2,main > exco_db_read > exco_read_salt,exco_db_read,exco_db_read,,0,,,
ascrv,subroutine,SWATPLUS/swatplus/src/ascrv.f90,1,,yes,2,main > hru_lte_read > ascrv,caltsoft_hyd;curno;hru_lte_read;plantparm_init;topohyd_init,caltsoft_hyd;curno;hru_lte_read;plantparm_init;topohyd_init,,0,,,
aqu2d_read,subroutine,SWATPLUS/swatplus/src/aqu2d_read.f90,1,,yes,2,main > hyd_connect > aqu2d_read,hyd_connect,hyd_connect,define_unit_elements,1,,,define_unit_elements:65
gwflow_chan_read,subroutine,SWATPLUS/swatplus/src/gwflow_chan_read.f90,8,,yes,2,main > hyd_connect > gwflow_chan_read,hyd_connect,hyd_connect,split_line,1,,,split_line:57
gwflow_read,subroutine,SWATPLUS/swatplus/src/gwflow_read.f90,10,,yes,2,main > hyd_connect > gwflow_read,hyd_connect,hyd_connect,gwflow_output_init;split_line,2,date_and_time,,date_and_time:199;split_line:227;split_line:229;split_line:345;split_line:383;split_line:459;split_line:532;split_line:554;gwflow_output_init:2168;split_line:2291;split_line:2304
hyd_read_connect,subroutine,SWATPLUS/swatplus/src/hyd_read_connect.f90,1,,yes,2,main > hyd_connect > hyd_read_connect,hyd_connect,hyd_connect,search,1,,,search:338
overbank_read,subroutine,SWATPLUS/swatplus/src/overbank_read.f90,1,,yes,2,main > hyd_connect > overbank_read,hyd_connect;proc_cha,hyd_connect;proc_cha,,0,,,
ru_read,subroutine,SWATPLUS/swatplus/src/ru_read.f90,1,,yes,2,main > hyd_connect > ru_read,hyd_connect,hyd_connect,,0,,,
ru_read_elements,subroutine,SWATPLUS/swatplus/src/ru_read_elements.f90,1,,yes,2,main > hyd_connect > ru_read_elements,hyd_connect,hyd_connect,define_unit_elements,1,,,define_unit_elements:129
aqu_initial,subroutine,SWATPLUS/swatplus/src/aqu_initial.f90,1,,yes,2,main > proc_aqu > aqu_initial,proc_aqu,proc_aqu,,0,,,
aqu_read,subroutine,SWATPLUS/swatplus/src/aqu_read.f90,1,,yes,2,main > proc_aqu > aqu_read,proc_aqu,proc_aqu,,0,,,
aqu_read_init,subroutine,SWATPLUS/swatplus/src/aqu_read_init.f90,2,,yes,2,main > proc_aqu > aqu_read_init,proc_aqu,proc_aqu,,0,,,
aqu_read_init_cs,subroutine,SWATPLUS/swatplus/src/aqu_read_init_cs.f90,1,,yes,2,main > proc_aqu > aqu_read_init_cs,proc_aqu,proc_aqu,,0,,,
basin_print_codes_read,subroutine,SWATPLUS/swatplus/src/basin_print_codes_read.f90,1,,yes,2,main > proc_bsn > basin_print_codes_read,proc_bsn,proc_bsn,,0,,,
basin_prm_default,subroutine,SWATPLUS/swatplus/src/basin_prm_default.f90,1,,yes,2,main > proc_bsn > basin_prm_default,proc_bsn,proc_bsn,,0,,,
basin_read_cc,subroutine,SWATPLUS/swatplus/src/basin_read_cc.f90,1,,yes,2,main > proc_bsn > basin_read_cc,proc_bsn,proc_bsn,,0,,,
basin_read_objs,subroutine,SWATPLUS/swatplus/src/basin_read_objs.f90,1,,yes,2,main > proc_bsn > basin_read_objs,proc_bsn,proc_bsn,,0,,,
basin_read_prm,subroutine,SWATPLUS/swatplus/src/basin_read_prm.f90,1,,yes,2,main > proc_bsn > basin_read_prm,proc_bsn,proc_bsn,,0,,,
carbon_bsn_read,subroutine,SWATPLUS/swatplus/src/carbon_bsn_read.f90,1,,yes,2,main > proc_bsn > carbon_bsn_read,proc_bsn,proc_bsn,,0,,,
carbon_layers_read,subroutine,SWATPLUS/swatplus/src/carbon_layers_read.f90,1,,yes,2,main > proc_bsn > carbon_layers_read,proc_bsn,proc_bsn,,0,,,
co2_read,subroutine,SWATPLUS/swatplus/src/co2_read.f90,1,,yes,2,main > proc_bsn > co2_read,proc_bsn,proc_bsn,open_output_file,1,,,open_output_file:35
open_output_file,subroutine,SWATPLUS/swatplus/src/output_path_module.f90,146,output_path_module,yes,2,main > proc_bsn > open_output_file,carbon_legacy_open;co2_read;header_aquifer;header_channel;header_const;header_cs;header_hyd;header_lu_change;header_mgt;header_path;header_pest;header_reservoir;header_salt;header_sd_channel;header_snutc;header_water_allocation;header_wetland;header_write;header_yield;open_cb_banner_pair;open_cb_flat_pair;open_cb_wide_pair;output_landscape_init;proc_bsn;proc_hru,carbon_legacy_open;co2_read;header_aquifer;header_channel;header_const;header_hyd;header_lu_change;header_mgt;header_path;header_pest;header_reservoir;header_salt;header_sd_channel;header_water_allocation;header_wetland;header_write;header_yield;open_cb_banner_pair;open_cb_flat_pair;open_cb_wide_pair;output_landscape_init;proc_bsn;proc_hru,,0,,,
readcio_read,subroutine,SWATPLUS/swatplus/src/readcio_read.f90,1,,yes,2,main > proc_bsn > readcio_read,proc_bsn,proc_bsn,init_output_path,1,,,init_output_path:112
time_read,subroutine,SWATPLUS/swatplus/src/time_read.f90,1,,yes,2,main > proc_bsn > time_read,proc_bsn,proc_bsn,xmon,1,,,xmon:33
aqu_read_elements,subroutine,SWATPLUS/swatplus/src/aqu_read_elements.f90,1,,yes,2,main > proc_cal > aqu_read_elements,proc_cal,proc_cal,define_unit_elements,1,,,define_unit_elements:63;define_unit_elements:106
cal_allo_init,subroutine,SWATPLUS/swatplus/src/cal_allo_init.f90,1,,yes,2,main > proc_cal > cal_allo_init,proc_cal,proc_cal,,0,,,
cal_conditions,subroutine,SWATPLUS/swatplus/src/cal_conditions.f90,1,,yes,2,main > proc_cal > cal_conditions,proc_cal,proc_cal,cal_parm_select,1,,,cal_parm_select:110;cal_parm_select:121;cal_parm_select:132;cal_parm_select:134;cal_parm_select:142;cal_parm_select:144;cal_parm_select:152;cal_parm_select:154;cal_parm_select:162;cal_parm_select:164;cal_parm_select:172;cal_parm_select:174
cal_parm_read,subroutine,SWATPLUS/swatplus/src/cal_parm_read.f90,1,,yes,2,main > proc_cal > cal_parm_read,proc_cal,proc_cal,,0,,,
calsoft_read_codes,subroutine,SWATPLUS/swatplus/src/calsoft_read_codes.f90,1,,yes,2,main > proc_cal > calsoft_read_codes,proc_cal,proc_cal,,0,,,
ch_read_elements,subroutine,SWATPLUS/swatplus/src/ch_read_elements.f90,1,,yes,2,main > proc_cal > ch_read_elements,proc_cal,proc_cal,define_unit_elements,1,,,define_unit_elements:59;define_unit_elements:103
ch_read_orders_cal,subroutine,SWATPLUS/swatplus/src/ch_read_orders_cal.f90,1,,yes,2,main > proc_cal > ch_read_orders_cal,proc_cal,proc_cal,,0,,,
ch_read_parms_cal,subroutine,SWATPLUS/swatplus/src/ch_read_parms_cal.f90,1,,yes,2,main > proc_cal > ch_read_parms_cal,proc_cal,proc_cal,,0,,,
lcu_read_softcal,subroutine,SWATPLUS/swatplus/src/lcu_read_softcal.f90,1,,yes,2,main > proc_cal > lcu_read_softcal,proc_cal,proc_cal,,0,,,
ls_read_lsparms_cal,subroutine,SWATPLUS/swatplus/src/ls_read_parms_cal.f90,1,,yes,2,main > proc_cal > ls_read_lsparms_cal,proc_cal,proc_cal,,0,,,
pl_read_parms_cal,subroutine,SWATPLUS/swatplus/src/pl_read_parms_cal.f90,1,,yes,2,main > proc_cal > pl_read_parms_cal,proc_cal,proc_cal,define_unit_elements,1,,,define_unit_elements:56
pl_read_regions_cal,subroutine,SWATPLUS/swatplus/src/pl_read_regions_cal.f90,1,,yes,2,main > proc_cal > pl_read_regions_cal,proc_cal,proc_cal,define_unit_elements,1,,,define_unit_elements:57
rec_read_elements,subroutine,SWATPLUS/swatplus/src/rec_read_elements.f90,1,,yes,2,main > proc_cal > rec_read_elements,proc_cal,proc_cal,define_unit_elements,1,,,define_unit_elements:57;define_unit_elements:101
res_read_elements,subroutine,SWATPLUS/swatplus/src/res_read_elements.f90,1,,yes,2,main > proc_cal > res_read_elements,proc_cal,proc_cal,define_unit_elements,1,,,define_unit_elements:56;define_unit_elements:100
aqu2d_init,subroutine,SWATPLUS/swatplus/src/aqu2d_init.f90,1,,yes,2,main > proc_cha > aqu2d_init,proc_cha,proc_cha,,0,,,
ch_initial,subroutine,SWATPLUS/swatplus/src/ch_initial.f90,1,,yes,2,main > proc_cha > ch_initial,proc_cha,proc_cha,,0,,,
ch_read,subroutine,SWATPLUS/swatplus/src/ch_read.f90,1,,yes,2,main > proc_cha > ch_read,proc_cha,proc_cha,,0,,,
ch_read_hyd,subroutine,SWATPLUS/swatplus/src/ch_read_hyd.f90,1,,yes,2,main > proc_cha > ch_read_hyd,proc_cha,proc_cha,,0,,,
ch_read_init,subroutine,SWATPLUS/swatplus/src/ch_read_init.f90,1,,yes,2,main > proc_cha > ch_read_init,proc_cha,proc_cha,,0,,,
ch_read_init_cs,subroutine,SWATPLUS/swatplus/src/ch_read_init_cs.f90,1,,yes,2,main > proc_cha > ch_read_init_cs,proc_cha,proc_cha,,0,,,
ch_read_nut,subroutine,SWATPLUS/swatplus/src/ch_read_nut.f90,1,,yes,2,main > proc_cha > ch_read_nut,proc_cha,proc_cha,,0,,,
ch_read_sed,subroutine,SWATPLUS/swatplus/src/ch_read_sed.f90,1,,yes,2,main > proc_cha > ch_read_sed,proc_cha,proc_cha,,0,,,
ch_ttcoef,subroutine,SWATPLUS/swatplus/src/ch_ttcoef.f90,1,,yes,2,main > proc_cha > ch_ttcoef,proc_cha,proc_cha,,0,,,
sd_channel_read,subroutine,SWATPLUS/swatplus/src/sd_channel_read.f90,1,,yes,2,main > proc_cha > sd_channel_read,proc_cha,proc_cha,,0,,,
sd_channel_surf_link,subroutine,SWATPLUS/swatplus/src/sd_channel_surf_link.f90,1,,yes,2,main > proc_cha > sd_channel_surf_link,proc_cha,proc_cha,,0,,,
sd_hydsed_init,subroutine,SWATPLUS/swatplus/src/sd_hydsed_init.f90,1,,yes,2,main > proc_cha > sd_hydsed_init,proc_cha,proc_cha,hyd_convert_conc_to_mass;rcurv_interp_dep;sd_rating_curve,3,,,sd_rating_curve:146;rcurv_interp_dep:221;hyd_convert_conc_to_mass:230
sd_hydsed_read,subroutine,SWATPLUS/swatplus/src/sd_hydsed_read.f90,1,,yes,2,main > proc_cha > sd_hydsed_read,proc_cha,proc_cha,,0,,,
time_conc_init,subroutine,SWATPLUS/swatplus/src/time_conc_init.f90,1,,yes,2,main > proc_cha > time_conc_init,proc_cha,proc_cha,,0,,,
cli_hmeas,subroutine,SWATPLUS/swatplus/src/cli_hmeas.f90,1,,yes,2,main > proc_date_time > cli_hmeas,proc_date_time,proc_date_time,,0,,,
cli_petmeas,subroutine,SWATPLUS/swatplus/src/cli_petmeas.f90,1,,yes,2,main > proc_date_time > cli_petmeas,proc_date_time,proc_date_time,,0,,,
cli_pmeas,subroutine,SWATPLUS/swatplus/src/cli_pmeas.f90,1,,yes,2,main > proc_date_time > cli_pmeas,proc_date_time,proc_date_time,,0,,,
cli_smeas,subroutine,SWATPLUS/swatplus/src/cli_smeas.f90,1,,yes,2,main > proc_date_time > cli_smeas,proc_date_time,proc_date_time,,0,,,
cli_tmeas,subroutine,SWATPLUS/swatplus/src/cli_tmeas.f90,1,,yes,2,main > proc_date_time > cli_tmeas,proc_date_time,proc_date_time,xmon,1,,,xmon:135
cli_wgnread,subroutine,SWATPLUS/swatplus/src/cli_wgnread.f90,1,,yes,2,main > proc_date_time > cli_wgnread,proc_date_time,proc_date_time,cli_initwgn;gcycl,2,,,gcycl:41;gcycl:88;cli_initwgn:103
cli_wmeas,subroutine,SWATPLUS/swatplus/src/cli_wmeas.f90,1,,yes,2,main > proc_date_time > cli_wmeas,proc_date_time,proc_date_time,,0,,,
cntbl_read,subroutine,SWATPLUS/swatplus/src/cntbl_read.f90,1,,yes,2,main > proc_db > cntbl_read,proc_db,proc_db,,0,,,
cons_prac_read,subroutine,SWATPLUS/swatplus/src/cons_prac_read.f90,1,,yes,2,main > proc_db > cons_prac_read,proc_db,proc_db,,0,,,
fert_parm_read,subroutine,SWATPLUS/swatplus/src/fert_parm_read.f90,1,,yes,2,main > proc_db > fert_parm_read,proc_db,proc_db,,0,,,
landuse_read,subroutine,SWATPLUS/swatplus/src/landuse_read.f90,1,,yes,2,main > proc_db > landuse_read,proc_db,proc_db,,0,,,
manure_db_read,subroutine,SWATPLUS/swatplus/src/manure_db_read.f90,1,,yes,2,main > proc_db > manure_db_read,proc_db,proc_db,,0,,,
manure_orgmin_read,subroutine,SWATPLUS/swatplus/src/manure_orgmin_read.f90,1,,yes,2,main > proc_db > manure_orgmin_read,proc_db,proc_db,,0,,,
mgt_read_chemapp,subroutine,SWATPLUS/swatplus/src/mgt_read_chemapp.f90,1,,yes,2,main > proc_db > mgt_read_chemapp,proc_db,proc_db,,0,,,
