unit_name,unit_kind,source_file,start_line,parent_unit,reachable_from_main,depth_from_main,first_path_from_main,called_by_known,called_by_reachable_from_main,calls_known_local,calls_known_local_count,calls_unresolved_or_external,calls_ambiguous_local_names,raw_call_sites
dtbl_flocon_read,subroutine,SWATPLUS/swatplus/src/dtbl_flocon_read.f90,1,,yes,1,main > dtbl_flocon_read,main,main,,0,,,
dtbl_lum_read,subroutine,SWATPLUS/swatplus/src/dtbl_lum_read.f90,1,,yes,1,main > dtbl_lum_read,main,main,,0,,,
dtbl_res_read,subroutine,SWATPLUS/swatplus/src/dtbl_res_read.f90,1,,yes,1,main > dtbl_res_read,main,main,,0,,,
dtbl_scen_read,subroutine,SWATPLUS/swatplus/src/dtbl_scen_read.f90,1,,yes,1,main > dtbl_scen_read,main,main,,0,,,
exco_db_read,subroutine,SWATPLUS/swatplus/src/exco_db_read.f90,1,,yes,1,main > exco_db_read,main,main,exco_read_hmet;exco_read_om;exco_read_path;exco_read_pest;exco_read_salt,5,,,exco_read_om:64;exco_read_pest:65;exco_read_path:66;exco_read_hmet:67;exco_read_salt:68
hru_dtbl_actions_init,subroutine,SWATPLUS/swatplus/src/hru_dtbl_actions_init.f90,1,,yes,1,main > hru_dtbl_actions_init,main,main,,0,,,
hru_lte_read,subroutine,SWATPLUS/swatplus/src/hru_lte_read.f90,1,,yes,1,main > hru_lte_read,main,main,ascrv,1,,,ascrv:268
hyd_connect,subroutine,SWATPLUS/swatplus/src/hyd_connect.f90,1,,yes,1,main > hyd_connect,main,main,aqu2d_read;dr_db_read;gwflow_chan_read;gwflow_read;hyd_read_connect;overbank_read;ru_read;ru_read_elements,8,exit,,hyd_read_connect:128;hyd_read_connect:133;hyd_read_connect:138;ru_read:139;ru_read_elements:140;hyd_read_connect:145;aqu2d_read:146;hyd_read_connect:151;overbank_read:152;hyd_read_connect:157;hyd_read_connect:162;hyd_read_connect:167;hyd_read_connect:172;dr_db_read:173;hyd_read_connect:178;hyd_read_connect:183;gwflow_chan_read:188;hyd_read_connect:189;gwflow_read:190;exit:427
hyd_connect_out,subroutine,SWATPLUS/swatplus/src/hyd_connect_out.f90,1,,yes,1,main > hyd_connect_out,main,main,,0,,,
lsu_read_elements,subroutine,SWATPLUS/swatplus/src/lsu_read_elements.f90,1,,yes,1,main > lsu_read_elements,main,main,define_unit_elements,1,,,define_unit_elements:74
manure_allocation_read,subroutine,SWATPLUS/swatplus/src/manure_allocation_read.f90,1,,yes,1,main > manure_allocation_read,main,main,,0,,,
object_read_output,subroutine,SWATPLUS/swatplus/src/object_read_output.f90,1,,yes,1,main > object_read_output,main,main,,0,,,
om_osrc_read,subroutine,SWATPLUS/swatplus/src/om_osrc_read.f90,1,,yes,1,main > om_osrc_read,main,main,,0,,,
om_treat_read,subroutine,SWATPLUS/swatplus/src/om_treat_read.f90,1,,yes,1,main > om_treat_read,main,main,,0,,,
om_use_read,subroutine,SWATPLUS/swatplus/src/om_use_read.f90,1,,yes,1,main > om_use_read,main,main,,0,,,
om_water_init,subroutine,SWATPLUS/swatplus/src/om_water_init.f90,1,,yes,1,main > om_water_init,main,main,,0,,,
path_cha_res_read,subroutine,SWATPLUS/swatplus/src/path_cha_res_read.f90,1,,yes,1,main > path_cha_res_read,main,main,,0,,,
pest_cha_res_read,subroutine,SWATPLUS/swatplus/src/pest_cha_res_read.f90,1,,yes,1,main > pest_cha_res_read,main,main,,0,,,
proc_aqu,subroutine,SWATPLUS/swatplus/src/proc_aqu.f90,1,,yes,1,main > proc_aqu,main,main,aqu_initial;aqu_read;aqu_read_init;aqu_read_init_cs,4,,,aqu_read:9;aqu_initial:10;aqu_read_init:11;aqu_read_init_cs:12
proc_bsn,subroutine,SWATPLUS/swatplus/src/proc_bsn.f90,1,,yes,1,main > proc_bsn,main,main,basin_print_codes_read;basin_prm_default;basin_read_cc;basin_read_objs;basin_read_prm;carbon_bsn_read;carbon_layers_read;co2_read;open_output_file;readcio_read;time_read,11,,,readcio_read:12;open_output_file:15;open_output_file:18;open_output_file:21;basin_read_cc:23;basin_read_objs:24;time_read:25;basin_read_prm:31;basin_prm_default:32;basin_print_codes_read:33;co2_read:34;carbon_bsn_read:35;carbon_layers_read:36
proc_cal,subroutine,SWATPLUS/swatplus/src/proc_cal.f90,1,,yes,1,main > proc_cal,main,main,aqu_read_elements;cal_allo_init;cal_conditions;cal_parm_read;cal_parmchg_read;calsoft_read_codes;ch_read_elements;ch_read_orders_cal;ch_read_parms_cal;lcu_read_softcal;ls_read_lsparms_cal;pl_read_parms_cal;pl_read_regions_cal;rec_read_elements;res_read_elements,15,,,cal_parm_read:14;cal_parmchg_read:15;pl_read_regions_cal:18;pl_read_parms_cal:19;cal_conditions:20;calsoft_read_codes:23;lcu_read_softcal:26;ls_read_lsparms_cal:27;aqu_read_elements:28;ch_read_elements:29;res_read_elements:30;rec_read_elements:31;ch_read_orders_cal:32;ch_read_parms_cal:33;cal_allo_init:35
proc_cha,subroutine,SWATPLUS/swatplus/src/proc_cha.f90,1,,yes,1,main > proc_cha,main,main,aqu2d_init;ch_initial;ch_read;ch_read_hyd;ch_read_init;ch_read_init_cs;ch_read_nut;ch_read_sed;ch_ttcoef;overbank_read;sd_channel_read;sd_channel_surf_link;sd_hydsed_init;sd_hydsed_read;time_conc_init,15,,,ch_read_init:15;ch_read_init_cs:16;sd_hydsed_read:18;ch_read_hyd:19;ch_read_sed:20;ch_read_nut:21;ch_read:22;sd_channel_read:23;sd_hydsed_init:24;aqu2d_init:30;ch_ttcoef:34;ch_initial:40;overbank_read:44;sd_channel_surf_link:45;time_conc_init:47
proc_cond,subroutine,SWATPLUS/swatplus/src/proc_cond.f90,1,,yes,1,main > proc_cond,main,main,,0,,,
proc_date_time,subroutine,SWATPLUS/swatplus/src/proc_date_time.f90,1,,yes,1,main > proc_date_time,main,main,cli_hmeas;cli_petmeas;cli_pmeas;cli_smeas;cli_tmeas;cli_wgnread;cli_wmeas,7,date_and_time,,date_and_time:14;date_and_time:21;cli_petmeas:22;cli_pmeas:26;date_and_time:29;cli_tmeas:30;date_and_time:33;cli_smeas:34;date_and_time:37;cli_hmeas:38;date_and_time:41;cli_wmeas:42;date_and_time:45;cli_wgnread:46;date_and_time:49
